Index,Rk,Team,seed,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
45,49,Vanderbilt,10,SEC,20-12,16.16,117.9,30,101.8,83,69.4,64,0.025,112,12.91,33,113.6,30,100.7,36,-6.86,343
46,51,Memphis,5,Amer,29-5,15.35,113.1,72,97.8,40,70.8,27,0.09,20,6.03,82,111.1,69,105,105,15.59,4
47,52,Utah St.,10,MWC,26-7,15.22,120.7,17,105.5,149,67.5,159,0.086,25,5.69,87,108.7,95,103,70,0.93,139
48,58,Drake,11,MVC,30-3,14.14,112.6,76,98.5,46,58.8,364,0.004,167,-0.49,159,107.2,137,107.7,190,-2.68,253
49,59,McNeese,12,Slnd,27-6,13.69,114.3,63,100.6,66,65.3,283,-0.023,249,-2.48,208,104.6,268,107.1,164,8.73,24
50,62,Liberty,12,CUSA,28-6,13.53,112.5,80,98.9,48,65.3,284,0,179,0.41,141,105.9,205,105.5,116,-2.93,259
51,73,Yale,13,Ivy,22-7,11.05,115.1,59,104,117,67.2,184,-0.041,285,-2.56,214,106.4,176,109,258,-0.85,200
52,83,Lipscomb,14,ASun,25-9,9.49,112.7,75,103.2,100,65.9,257,-0.028,263,-4.57,282,105.6,220,110.2,334,3.93,69
53,84,High Point,13,BSth,29-5,9.3,118.5,25,109.1,227,66.4,222,0.011,146,-5.51,296,104.3,281,109.8,316,-5.9,330
54,93,Grand Canyon,13,WAC,26-7,7.22,107.8,149,100.6,67,71.4,14,0.019,127,-3.47,248,103.1,305,106.6,148,-3.2,271
55,98,Troy,14,SB,23-10,6.88,107.7,153,100.8,71,66.3,229,-0.009,204,-2.91,229,105.3,239,108.2,215,1.2,135
56,99,Akron,13,MAC,28-6,6.58,113.7,66,107.1,183,71.4,16,0.071,39,-4.38,277,104.7,266,109.1,263,1.54,127
57,105,UNC Wilmington,14,CAA,27-7,5.14,112.3,84,107.1,184,65.3,285,0.055,58,-4.62,284,104.8,261,109.5,294,-5.06,311
58,139,Robert Morris,15,Horz,26-8,2.09,107,171,104.9,134,67.8,141,0.088,23,-6.25,304,104.5,276,110.7,355,-8.62,351
59,149,Bryant,15,AE,23-11,1.18,106.7,178,105.5,148,72.4,7,-0.003,188,-6.99,317,102.9,312,109.9,326,0.46,152
60,156,Nebraska Omaha,15,Sum,22-12,0.51,111,96,110.5,252,67.7,145,0.071,38,-2.51,211,106.7,160,109.2,277,0.4,155
61,157,Montana,14,BSky,25-9,0.38,110.8,98,110.4,250,67,193,0.186,1,-2.22,195,106.4,173,108.7,236,8.73,25
62,180,Norfolk St.,16,MEAC,24-10,-1.53,107.1,168,108.7,217,66.3,226,0.056,56,-7.23,324,103,307,110.3,337,3.03,89
63,217,SIUE,16,OVC,22-11,-4.32,101.9,255,106.2,160,65.8,261,0.052,66,-9.1,357,101.3,351,110.4,347,-3.52,278
64,237,American,16,PL,22-12,-5.98,102.1,252,108,205,63.5,349,0.133,4,-7.09,320,103.2,303,110.3,342,1.65,124
65,250,Mount St. Mary's,16,MAAC,22-12,-6.67,100.1,292,106.8,176,67.4,170,0.147,2,-7.26,325,101.9,333,109.2,266,-1.18,210
66,273,Alabama St.,16,SWAC,19-15,-9.24,101.4,270,110.6,256,67.7,142,0.049,69,-8.7,355,100.7,359,109.4,290,6.15,45
67,311,Saint Francis,16,NEC,16-17,-12.76,99.7,299,112.4,293,66.9,201,0.074,35,-6.8,313,101.5,345,108.3,218,7.94,32
